nestling,extract,sex,year,nest,treatment,repeat,round,fledged,mass
108-L,5,M,2016,108,P,1,1,0,
108-R ,6,M,2016,108,P,1,1,0,
110-B,7,F,2016,110,P,1,1,1,32.5
110-L,8,M,2016,110,P,1,1,0,38.8
110-N,27,M,2016,110,P,1,1,1,28.25
110-R,9,F,2016,110,P,1,1,1,33.43
111-L,14,M,2016,111,W,1,1,1,35.29
111-N,15,F,2016,111,W,1,1,0,25.25
111-R,16,M,2016,111,W,1,1,1,33.99
122-L,38,M,2016,122,W,1,1,0,29.5
122-R,39,F,2016,122,W,1,1,1,34.1
124-B,22,F,2016,124,P,1,1,1,36.28
124-L,23,F,2016,124,P,1,1,1,37.89
124-R,24,M,2016,124,P,1,1,1,42.87
128-B,28,F,2016,128,W,1,1,0,21.99
128-R,29,F,2016,128,W,1,1,0,
137-L,45,F,2016,137,W,1,1,0,
137-N,46,M,2016,137,W,1,1,0,
137-R,47,F,2016,137,W,1,1,0,
140-L,17,M,2016,140,P,1,1,1,39.7
140-R,18,M,2016,140,P,1,1,1,42.94
24-N,67,F,2016,24,W,1,1,1,34.27
24-R,65,M,2016,24,W,1,1,1,41.88
25-B,40,F,2016,25,P,1,1,1,35.5
25-L,41,,2016,25,P,1,1,1,33.4
25-N,42,M,2016,25,P,1,1,1,30
25-R,43,F,2016,25,P,1,1,0,34
40-N,56,F,2016,40,W,1,1,0,19.47
40-R,44,F,2016,40,W,1,1,0,31.51
51-L,48,M,2016,51,P,1,1,1,33.89
51-N,49,F,2016,51,P,1,1,1,30.28
51-R,50,M,2016,51,P,1,1,1,39.42
52-L,57,F,2016,52,P,1,1,0,
59-L,62,M,2016,59,P,1,1,1,42.8
59-N,63,M,2016,59,P,1,1,0,21.9
59-R,64,F,2016,59,P,1,1,1,35.9
74-2-R,66,M,2016,74-2,W,1,1,0,
74-L,30,M,2016,74,W,1,1,0,
74-R,31,M,2016,74,W,1,1,0,
75-L,53,M,2016,75,W,1,1,0,37.13
75-N,54,F,2016,75,W,1,1,1,34.64
75-R,55,M,2016,75,W,1,1,0,43.01
76-B,19,F,2016,76,W,1,1,0,
76-L,20,F,2016,76,W,1,1,0,
76-R,21,F,2016,76,W,1,1,0,27.05
86-B,10,F,2016,86,W,1,1,0,
86-L,11,F,2016,86,W,1,1,0,27.28
86-N,12,M,2016,86,W,1,1,1,25.6
86-R,13,F,2016,86,W,1,1,0,30.05
89-L,25,M,2016,89,P,1,1,1,40.54
89-R,26,M,2016,89,P,1,1,1,40.6
91-L,58,F,2016,91,W,1,1,0,
91-R,59,M,2016,91,W,1,1,0,
92-L,1,M,2016,92,P,1,1,1,36.23
92-N,2,M,2016,92,P,1,1,1,34.51
92-R,3,F,2016,92,P,1,1,1,34.21
98-L,60,M,2016,98,W,1,1,0,
98-R,61,F,2016,98,W,1,1,0,
